"sample_id","Shannon","Simpson","subject_id","visit_number","sample_body_site","study_full_name","project_name"
"ep300768_k110_mv1d",0.645124179747365,0.27607476699198,"e50d0c183689e4053ccb35f8b29e7d96",11,"vagina","momspi","Integrative Human Microbiome Project"
"ep300768_k20_mv1d",0.780963789693055,0.316929282723754,"e50d0c183689e4053ccb35f8b29e7d96",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep300768_k30_mv1d",0.821969023768487,0.417172094209327,"e50d0c183689e4053ccb35f8b29e7d96",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep300768_k50_mv1d",1.89973144747431,0.781174791034739,"e50d0c183689e4053ccb35f8b29e7d96",5,"vagina","momspi","Integrative Human Microbiome Project"
"ep300768_k80_mv1d",1.11170861098091,0.461820311079558,"e50d0c183689e4053ccb35f8b29e7d96",8,"vagina","momspi","Integrative Human Microbiome Project"
"ep300768_k90_mv1d",2.26930045357254,0.823028449106239,"e50d0c183689e4053ccb35f8b29e7d96",9,"vagina","momspi","Integrative Human Microbiome Project"
"ep304007_k10_mv1d",0.101460103927724,0.0253162567752236,"858ed4564f11795ec13dda4c10a3bb0f",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep304007_k20_mv1d",0.0962555174249116,0.0238758545306537,"858ed4564f11795ec13dda4c10a3bb0f",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep304007_k30_mv1d",0.139943264645617,0.0337991128248117,"858ed4564f11795ec13dda4c10a3bb0f",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep304007_k40_mv1d",0.0695285057590517,0.0168357407471645,"858ed4564f11795ec13dda4c10a3bb0f",4,"vagina","momspi","Integrative Human Microbiome Project"
"ep304007_k50_mv1d",0.0789480649230083,0.0210214345991694,"858ed4564f11795ec13dda4c10a3bb0f",5,"vagina","momspi","Integrative Human Microbiome Project"
"ep307640_k10_mv1d",1.93636485990532,0.708511714259045,"858ed4564f11795ec13dda4c10a3c44c",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep307640_k20_mv1d",0.135370033419835,0.033478969204551,"858ed4564f11795ec13dda4c10a3c44c",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep307640_k30_mv1d",1.03526704891607,0.325910859972268,"858ed4564f11795ec13dda4c10a3c44c",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep307640_k40_mv1d",2.12550755769802,0.814670360278128,"858ed4564f11795ec13dda4c10a3c44c",4,"vagina","momspi","Integrative Human Microbiome Project"
"ep310863_k10_mv1d",0.935066325988152,0.404351934890886,"76612bd9a41885add4f6b0b768417ea9",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep310863_k20_mv1d",1.22647977486536,0.468645557588709,"76612bd9a41885add4f6b0b768417ea9",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep310863_k30_mv1d",0.539992121394036,0.192936061919161,"76612bd9a41885add4f6b0b768417ea9",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep311478_k10_mv1d",0.173545519106462,0.0621335807697845,"e50d0c183689e4053ccb35f8b29e8785",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep311478_k20_mv1d",0.193109172776826,0.0606255978575283,"e50d0c183689e4053ccb35f8b29e8785",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep311478_k30_mv1d",0.412372964045453,0.144822193563719,"e50d0c183689e4053ccb35f8b29e8785",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep311478_k40_mv1d",0.259692295831349,0.0780455641914957,"e50d0c183689e4053ccb35f8b29e8785",4,"vagina","momspi","Integrative Human Microbiome Project"
"ep311478_k50_mv1d",0.155368729121177,0.0485806849607446,"e50d0c183689e4053ccb35f8b29e8785",5,"vagina","momspi","Integrative Human Microbiome Project"
